	Department of Agricultural Resources
parrot-feather; water-feather; Brazilian water-milfoil	Myriophyllum aquaticum
pickerel weed	Monochoria vaginalis
pilipiliula	Chrysopogon aciculatus
plume grass; Amur silvergrass	Miscanthus sacchariflorus (also covers Miscanthus
porcelain-berry; Amur peppervine	Ampelopsis brevipedunculata
purple loosestrife	Lythrum salicaria
red rice	Oryza punctata
reed canary-grass; ribbon grass	Phalaris arundinacea
serrated tussock	Nassella trichotoma
sessile joyweed	Alternanthera sessilis
spotted knapweed	Centaurea biebersteinii; C. stoebe ssp. micranthos
sycamore maple	Acer pseudoplatanus
tall mannagrass; reed mannagrass	Glyceria maxima
tansy ragwort; stinking Willie	Senecio jacobaea
Tatarian honeysuckle	Lonicera tatarica
three-cornered jack	Emex australis
tornillo	Prosopis reptans
tree of heaven	Ailanthus altissima
tropical soda apple	Solanum viarum
turkeyberry	Solanum torvum
variable water-milfoil; two-leaved water-milfoil	Myriophyllum heterophyllum
velvet fingergrass	Digitaria velutina
velvet mesquite	Prosopis velutina
water yellowcress; great yellowcress	Rorippa amphibia
water-chestnut	Trapa natans
wetland nightshade	Solanum tampicense
wild blackberry complex	Rubus fruticosus
wild blackberry	Rubus moluccanus
wild chervil	Anthriscus sylvestris
wild safflower; jeweled distaff thistle	Carthamus oxyacanthus; C. oxycantha
wild sugarcane	Saccharum spontaneum
wineberry; Japanese wineberry; wine raspberry	Rubus phoenicolasius
witchweed	Striga spp.
wormleaf salsola	Salsola vermiculata
yellow floating heart	Nymphoides peltata
yellow Iris	Iris pseudacorus
